index,mtx,pixel_gflops
0,0637_bcspwr07.mtx,0.125542
1,1471_thermal.mtx,3.086969
2,2201_fe_ocean.mtx,2.779102
3,1657_bloweybl.mtx,19.46338
4,0494_str_600.mtx,0.253672
5,0153_sphere2.mtx,0.056182
6,2027_GT01R.mtx,23.711963
7,0309_oscil_dcop_01.mtx,0.071271
8,2149_TSOPF_RS_b39_c19.mtx,5.046225
9,2687_venturiLevel3.mtx,1.841031
10,1504_descriptor_xingo6u.mtx,0.709479
11,1460_rajat07.mtx,0.244975
12,2193_ky2010.mtx,0.36895
13,0491_685_bus.mtx,0.175214
14,0944_grid2_dual.mtx,0.223515
15,2749_nlpkkt80.mtx,7.390157
16,0686_fpga_dcop_21.mtx,0.254888
17,2023_loc-Brightkite.mtx,0.145942
18,0297_oscil_dcop_13.mtx,0.071271
19,1443_viscoplastic1.mtx,1.818886
20,0908_adder_dcop_52.mtx,2.129629
21,0287_oscil_dcop_24.mtx,0.071667
22,1562_tuma1.mtx,0.855495
23,2297_Linux_call_graph.mtx,0.183919
24,1768_brainpc2.mtx,57.8296
25,1655_conf6_0-4x4-20.mtx,6.498626
26,0594_tumorAntiAngiogenesis_6.mtx,0.832429
27,0365_tols90.mtx,0.436966
28,0879_adder_dcop_61.mtx,2.146943
29,2422_net100.mtx,4.858995
30,0715_minnesota.mtx,0.087369
31,2486_rgg_n_2_18_s0.mtx,0.751414
32,0068_mycielskian5.mtx,0.021378
33,0666_fpga_dcop_39.mtx,0.248127
34,2507_amazon0601.mtx,0.243127
35,1176_tomography.mtx,5.718348
36,0763_jagmesh5.mtx,0.386134
37,1473_flowmeter0.mtx,0.473795
38,2089_cage11.mtx,0.689569
39,1317_Trefethen_2000.mtx,1.876617
40,2424_bcsstk30.mtx,34.503065
41,0698_bcspwr08.mtx,0.1186
42,2038_qc2534.mtx,110.109157
43,0198_can_96.mtx,0.136258
44,1536_c-40.mtx,10.359184
45,2177_copter2.mtx,0.621509
46,1715_case9.mtx,39.318961
47,0900_adder_dcop_22.mtx,2.173449
48,0792_nnc1374.mtx,0.358445
49,1600_ex15.mtx,2.903702
50,0578_cdde2.mtx,0.245102
51,0238_rdb200l.mtx,0.109241
52,0609_cage.mtx,0.36322
53,1544_jan99jac040sc.mtx,0.40635
54,1829_s2rmt3m1.mtx,17.333672
55,2099_ut2010.mtx,0.231028
56,0789_mhda416.mtx,2.115562
57,1805_mario001.mtx,0.707344
58,1192_c-28.mtx,0.924792
59,2401_imagesensor.mtx,0.723711
60,2060_soc-Epinions1.mtx,0.108453
61,1047_bcsstm12.mtx,1.600207
62,1067_kineticBatchReactor_1.mtx,1.698685
63,0447_lnsp_511.mtx,0.219797
64,0781_poli.mtx,0.122319
65,0984_pde2961.mtx,0.348082
66,1288_nasa1824(0).mtx,2.599543
67,1019_spaceStation_10.mtx,0.827799
68,1061_rw5151.mtx,0.392113
69,2304_mycielskian13.mtx,10.026451
70,1786_bfly.mtx,0.98674
71,2440_H2O.mtx,1.5511
72,0082_lap_25.mtx,0.027528
73,2750_nd24k.mtx,68.18628
74,0772_G32.mtx,0.321608
75,0149_gre_115.mtx,0.031676
76,1442_sit100.mtx,0.434501
77,1527_LFAT5000.mtx,1.110542
78,0485_G12.mtx,0.213333
79,1163_freeFlyingRobot_6.mtx,1.474708
80,0327_oscil_dcop_33.mtx,0.079141
81,0536_nnc666.mtx,0.259493
82,0871_adder_dcop_67.mtx,2.122294
83,2600_Chevron4.mtx,6.901766
84,2280_ks2010.mtx,0.376926
85,0566_bp_800.mtx,0.066409
86,0402_Chebyshev1.mtx,0.208062
87,1251_dynamicSoaringProblem_6.mtx,5.310011
88,2818_Flan_1565.mtx,26.406921
89,1296_G27.mtx,0.342848
90,2264_Dubcova2.mtx,0.953977
91,0117_pivtol.mtx,0.019326
92,2668_delaunay_n21.mtx,2.031599
93,2584_para-5.mtx,0.718183
94,1087_bcspwr10.mtx,0.036522
95,1136_freeFlyingRobot_5.mtx,1.329119
96,0535_bp_400.mtx,0.079092
97,0611_netz4504.mtx,0.130213
98,1730_vt2010.mtx,0.057441
99,0421_dwb512.mtx,0.208067
100,0029_bcsstm01.mtx,0.001524
101,2551_TSOPF_FS_b300.mtx,315.014473
102,2066_ted_AB_unscaled.mtx,25.61509
103,0504_dwt_512.mtx,0.409633
104,1734_c-49.mtx,2.307059
105,2301_caidaRouterLevel.mtx,0.078756
106,2172_brack2.mtx,1.379871
107,1357_Oregon-1.mtx,0.408766
108,0916_adder_dcop_35.mtx,2.167079
109,2699_af_5_k101.mtx,41.881578
110,0272_dwt_198.mtx,0.139765
111,2517_power197k.mtx,1.084724
112,2324_nemeth22.mtx,165.229831
113,2044_wathen100.mtx,7.81987
114,0740_cavity02.mtx,1.488099
115,1932_EAT_RS.mtx,0.029154
116,0055_bcsstm03.mtx,0.003027
117,0848_cage8.mtx,0.567732
118,0111_ex5.mtx,0.062554
119,1957_mark3jac120sc.mtx,0.904632
120,1749_mark3jac060sc.mtx,0.211976
121,2310_ok2010.mtx,0.245156
122,2014_nv2010.mtx,0.252702
123,1220_cavity08.mtx,3.475355
124,1147_lnsp3937.mtx,0.650939
125,1830_s3rmt3m1.mtx,17.641978
126,1128_spaceShuttleEntry_2.mtx,3.636767
127,1494_EX4(0).mtx,1.342411
128,2660_fcondp2.mtx,46.037879
129,0427_M20PI_n1.mtx,0.076609
130,1962_cond-mat-2005.mtx,0.127122
131,1505_ncvxqp1.mtx,0.321915
132,2076_psmigr_3.mtx,5.519309
133,0146_bcsstm06.mtx,0.009882
134,2453_pkustk07.mtx,9.40309
135,1985_g7jac100sc.mtx,0.341051
136,0345_bcspwr04.mtx,0.132617
137,0853_adder_dcop_01.mtx,2.168864
138,2433_wave.mtx,1.464205
139,2559_engine.mtx,7.304288
140,0599_M40PI_n1.mtx,0.138663
141,0237_bcsstm09.mtx,0.026096
142,0886_adder_dcop_47.mtx,2.129629
143,1947_ckt11752_tr_0.mtx,5.53039
144,2078_soc-sign-Slashdot090216.mtx,0.046982
145,1685_raefsky6.mtx,6.48126
146,2115_pfinan512.mtx,1.526728
147,0911_adder_dcop_31.mtx,2.159484
148,2256_G_n_pin_pout.mtx,0.061828
149,1464_Oregon-2.mtx,1.280309
150,2105_nemeth16.mtx,64.161849
151,1883_s3rmq4m1.mtx,23.497143
152,2103_crystm03.mtx,4.435084
153,1978_vsp_south31_slptsk.mtx,13.238599
154,1395_lock1074.mtx,8.586758
155,2543_pkustk10.mtx,38.187091
156,2250_la2010.mtx,0.351065
157,2746_ML_Laplace.mtx,40.780048
158,1012_LeGresley_2508.mtx,0.438398
159,2000_ca-AstroPh.mtx,0.028229
160,0643_fpga_dcop_04.mtx,0.251183
161,2247_co2010.mtx,0.253734
162,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,0.216937
163,1110_G39.mtx,0.403959
164,0121_impcol_b.mtx,0.031519
165,1465_fe_4elt2.mtx,0.585418
166,1901_EX6(0).mtx,1.835368
167,2129_nd2010.mtx,0.401011
168,2558_ship_001.mtx,34.341141
169,0735_rdb1250.mtx,0.375579
170,0860_adder_dcop_09.mtx,2.138177
171,1587_cti.mtx,0.752441
172,1713_ccc.mtx,0.87511
173,1125_add32.mtx,0.515711
174,2094_g7jac140sc.mtx,0.338733
175,0145_west0132.mtx,0.022393
176,1306_freeFlyingRobot_10.mtx,2.750373
177,0610_dwt_607.mtx,0.410377
178,1784_skirt(0).mtx,2.540682
179,2803_audikw_1.mtx,14.996723
180,1506_xingo3012.mtx,0.713768
181,2669_test1.mtx,0.034404
182,0394_gre_512.mtx,0.12583
183,0452_ck400.mtx,0.374328
184,1475_powersim.mtx,0.747783
185,0285_oscil_dcop_38.mtx,0.071667
186,1800_g7jac060.mtx,0.305939
187,2241_crplat2.mtx,47.819148
188,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,0.046651
189,0635_plat362.mtx,0.857849
190,1385_mbeacxc.mtx,7.56147
191,0437_fs_680_1.mtx,0.167115
192,2015_onera_dual.mtx,1.427742
193,0880_adder_dcop_62.mtx,2.18889
194,0326_oscil_dcop_32.mtx,0.065482
195,2042_OPF_10000.mtx,4.497258
196,2230_ne2010.mtx,0.381931
197,0523_can_445.mtx,0.326539
198,1451_c-35.mtx,2.340863
199,1870_a5esindl.mtx,17.810747
200,1900_EX5(0).mtx,1.887555
201,2398_appu.mtx,0.310612
202,2342_web-NotreDame.mtx,12.322348
203,0379_west0479.mtx,0.098532
204,0806_laser.mtx,0.288478
205,2582_para-8.mtx,0.72042
206,2515_parabolic_fem.mtx,1.642636
207,2307_amazon0302.mtx,0.245015
208,0816_G16.mtx,0.370954
209,0168_lnsp_131.mtx,0.047248
210,2214_ch7-8-b5.mtx,1.505503
211,2238_soc-Slashdot0902.mtx,0.07108
212,0440_tumorAntiAngiogenesis_2.mtx,0.530907
213,1578_ex26.mtx,7.799259
214,1760_epb2.mtx,1.708964
215,0646_fpga_dcop_29.mtx,0.262028
216,0537_1138_bus.mtx,0.131913
217,2037_tandem_dual.mtx,1.574201
218,0862_adder_dcop_11.mtx,2.196663
219,0275_dwt_245.mtx,0.132859
220,1285_jan99jac020.mtx,0.321965
221,0481_str_400.mtx,0.246453
222,1993_nemeth03.mtx,31.005124
223,1550_bcsstk13.mtx,7.122034
224,2017_cit-HepPh.mtx,0.018528
225,0192_bcsstk22.mtx,0.05985
226,0997_c-18.mtx,0.642122
227,0298_oscil_dcop_22.mtx,0.070109
228,1790_lowThrust_5.mtx,34.747728
229,2405_conf6_0-8x8-80.mtx,17.726187
230,2651_crankseg_1.mtx,19.457936
231,1017_rbsb480.mtx,1.148693
232,1839_mark3jac080sc.mtx,0.215059
233,0829_can_838.mtx,0.675671
234,0696_dwt_503.mtx,0.664494
235,2249_or2010.mtx,0.238921
236,1944_usroads.mtx,0.281195
237,0528_tumorAntiAngiogenesis_3.mtx,0.670039
238,0633_rdb968.mtx,0.32602
239,0289_oscil_dcop_21.mtx,0.062019
240,1865_rajat26.mtx,3.304496
241,1236_cell1.mtx,0.81845
242,1907_dixmaanl.mtx,2.461004
243,0205_grid1_dual.mtx,0.040974
244,1234_c-26.mtx,1.540846
245,1606_piston.mtx,14.525597
246,0921_adder_dcop_49.mtx,2.108977
247,0934_G52.mtx,0.405743
248,0413_dwt_310.mtx,0.320064
249,1904_finance256.mtx,1.393136
250,1827_bcsstk28.mtx,16.789996
251,0133_west0156.mtx,0.017737
252,1376_rajat13.mtx,8.880985
253,0439_mcca.mtx,0.718377
254,1740_lock3491.mtx,13.747382
255,0701_delaunay_n10.mtx,0.196328
256,0678_fpga_dcop_13.mtx,0.248787
257,1041_wang1.mtx,0.682701
258,2092_Goodwin_040.mtx,16.337037
259,2161_cyl6.mtx,37.43788
260,0596_bp_1600.mtx,0.056403
261,1324_freeFlyingRobot_15.mtx,2.692269
262,0935_G54.mtx,0.395997
263,1645_ex31.mtx,7.861574
264,1940_inlet.mtx,17.051956
265,2621_shipsec1.mtx,32.74281
266,2430_mc2depi.mtx,2.625271
267,1157_as-735.mtx,0.341045
268,2154_md2010.mtx,0.270053
269,1373_ex24.mtx,3.671563
270,0797_EX1(0).mtx,0.544126
271,0730_bcsstm07.mtx,1.138915
272,0098_d_dyn.mtx,0.010667
273,0422_dwt_307.mtx,0.238429
274,2607_TSOPF_RS_b2052_c1.mtx,12.081969
275,0538_celegans_metabolic.mtx,0.560765
276,1559_t2d_q9.mtx,2.11488
277,1039_polblogs.mtx,0.687286
278,2197_pkustk02.mtx,29.591504
279,2090_k1_san.mtx,1.245954
280,1301_G22.mtx,0.343338
281,0140_bcsstk01.mtx,0.068515
282,0983_adder_trans_02.mtx,2.246115
283,1074_swang2.mtx,0.190417
284,2540_pkustk04.mtx,18.476016
285,2204_nj2010.mtx,0.325537
286,0233_fs_183_6.mtx,0.181164
287,0694_bfwb782.mtx,0.354495
288,1321_Alemdar.mtx,0.036394
289,1716_TSOPF_FS_b9_c6.mtx,39.266427
290,1171_bayer07.mtx,0.905682
291,2735_germany_osm.mtx,0.877592
292,1899_sinc12.mtx,2.800987
293,2164_c-64.mtx,39.456308
294,2417_mixtank_new.mtx,3.867997
295,0174_can_61.mtx,0.093039
296,2641_gupta3.mtx,90.114482
297,0639_fpga_dcop_07.mtx,0.251438
298,0969_CAG_mat364.mtx,2.393264
299,2664_fullb.mtx,39.642964
300,2278_ex11.mtx,20.743799
301,0888_adder_dcop_48.mtx,2.209824
302,2738_dielFilterV2clx.mtx,2.432799
303,1139_email-Eu-core-temporal.mtx,1.39731
304,1533_kineticBatchReactor_5.mtx,13.446249
305,0562_pde900.mtx,0.249163
306,0222_ck104.mtx,0.148837
307,2728_CoupCons3D.mtx,39.410513
308,1199_c-23.mtx,1.787096
309,1999_nemeth09.mtx,30.206744
310,0050_GD95_b.mtx,0.00224
311,1108_G36.mtx,0.394966
312,1429_ex10hs.mtx,3.971262
313,2295_az2010.mtx,0.219694
314,2150_rgg_n_2_16_s0.mtx,0.18636
315,0162_bcsstm20.mtx,0.014058
316,0441_lshp_406.mtx,0.234293
317,2709_human_gene2.mtx,6.380087
318,0621_dynamicSoaringProblem_1.mtx,0.635809
319,0084_pores_1.mtx,0.022968
320,1772_ca-CondMat.mtx,0.033611
321,2630_Ge99H100.mtx,7.131802
322,0542_nos2.mtx,0.290651
323,2045_nemeth13.mtx,44.765038
324,1689_cavity21.mtx,10.216056
325,1545_jan99jac040.mtx,0.403996
326,0076_bcsstm05.mtx,0.003873
327,2131_mt2010.mtx,0.288192
328,0290_oscil_dcop_25.mtx,0.064179
329,0605_spaceStation_3.mtx,0.396969
330,2549_TSOPF_RS_b678_c1.mtx,10.815185
331,0737_reorientation_1.mtx,1.465689
332,0169_lns_131.mtx,0.051508
333,1825_ABACUS_shell_ld.mtx,0.338107
334,1230_G60.mtx,0.013496
335,2638_CurlCurl_2.mtx,3.858795
336,1367_circuit_3.mtx,2.757944
337,1275_G6.mtx,0.924624
338,2387_bbmat.mtx,29.206513
339,2202_TSC_OPF_300.mtx,105.253073
340,0160_bcspwr03.mtx,0.03623
341,2125_TSOPF_FS_b162_c1.mtx,103.565552
342,2743_F1.mtx,10.456377
343,1912_Na5.mtx,6.20527
344,2128_c-69.mtx,2.632025
345,2807_Long_Coup_dt0.mtx,31.509406
346,0331_oscil_dcop_48.mtx,0.075439
347,0618_bcspwr06.mtx,0.133528
348,1743_c-48.mtx,1.211382
349,0497_qh882.mtx,0.130172
350,1278_G9.mtx,0.955742
351,0977_Erdos972.mtx,0.025323
352,0138_tub100.mtx,0.036138
353,1091_bcsstk10.mtx,2.66737
354,0193_will199.mtx,0.035447
355,1022_reorientation_2.mtx,4.105195
356,1054_G46.mtx,0.544399
357,1302_p2p-Gnutella04.mtx,0.042805
358,2597_marine1.mtx,3.181048
359,0887_adder_dcop_29.mtx,2.183719
360,1823_ABACUS_shell_md.mtx,0.337284
361,0124_dwt_66.mtx,0.027443
362,0119_mesh1em1.mtx,0.038133
363,2217_c-71.mtx,2.003138
364,0325_oscil_dcop_08.mtx,0.070879
365,1974_c-53.mtx,24.060891
366,2353_sparsine.mtx,0.050799
367,1038_spaceStation_11.mtx,0.86601
368,1819_jan99jac100.mtx,0.461083
369,0833_M80PI_n.mtx,0.193604
370,2704_af_shell1.mtx,37.800029
371,1080_bcsstk34.mtx,3.559298
372,2588_Goodwin_127.mtx,19.775486
373,2605_shipsec8.mtx,33.120755
374,2436_gupta1.mtx,15.903468
375,0739_cavity03.mtx,1.483204
376,0446_problem1.mtx,0.198344
377,0436_fs_680_3.mtx,0.141155
378,2794_Hook_1498.mtx,13.207558
379,1073_lshp3025.mtx,0.633543
380,2566_ecology2.mtx,3.899703
381,0039_bcsstm02.mtx,0.001784
382,1799_g7jac060sc.mtx,0.306588
383,2741_CurlCurl_4.mtx,3.622971
384,2589_pre2.mtx,5.653248
385,2420_TSC_OPF_1047.mtx,246.604968
386,2805_channel-500x100x100-b050.mtx,4.54561
387,1404_kineticBatchReactor_3.mtx,7.591634
388,1259_lhr02.mtx,1.385739
389,1195_freeFlyingRobot_7.mtx,1.606101
390,2435_144.mtx,0.080911
391,1351_barth(0).mtx,0.025944
392,1566_garon1.mtx,2.015681
393,1271_dynamicSoaringProblem_8.mtx,4.762097
394,2070_c-67b.mtx,13.574419
395,1986_g7jac100.mtx,0.340986
396,2745_adaptive.mtx,1.981082
397,0513_bfwa398.mtx,0.376364
398,1174_fd12.mtx,0.313208
399,2570_tmt_sym.mtx,3.885185
400,0910_adder_dcop_12.mtx,2.158223
401,0260_impcol_e.mtx,0.112049
402,2484_roadNet-PA.mtx,0.752862
403,1215_rajat03.mtx,0.188553
404,2810_nlpkkt120.mtx,7.583066
405,0319_oscil_dcop_27.mtx,0.073295
406,1642_g7jac040.mtx,0.288958
407,1222_poli_large.mtx,0.232071
408,1290_spaceShuttleEntry_4.mtx,6.455215
409,0529_young3c.mtx,0.242744
410,0505_west0989.mtx,0.159471
411,0234_fs_183_1.mtx,0.178
412,0897_adder_dcop_26.mtx,2.101783
413,0613_tols2000.mtx,0.481189
414,2348_nemeth25.mtx,158.334002
415,2167_pf2177(0).mtx,0.817999
416,2649_atmosmodm.mtx,2.723584
417,2609_nd6k.mtx,70.537117
418,0165_lesmis.mtx,0.094215
419,0571_nos7.mtx,0.311779
420,0337_oscil_dcop_40.mtx,0.067895
421,0137_olm100.mtx,0.031758
422,2490_net150.mtx,5.68494
423,2251_cont-300.mtx,4.021368
424,2034_rajat15.mtx,1.205225
425,2508_Chevron3.mtx,6.542985
426,1383_cryg10000.mtx,0.753951
427,1178_c-22.mtx,1.059961
428,1641_mark3jac040sc.mtx,0.208288
429,1276_G10.mtx,0.921539
430,1490_nopoly.mtx,0.340075
431,0073_GD99_c.mtx,0.0045
432,1531_lock2232.mtx,8.036294
433,1927_crystm02.mtx,3.577409
434,1457_bcsstk14.mtx,5.362083
435,0210_gre_216b.mtx,0.068523
436,0303_oscil_dcop_47.mtx,0.06973
437,1027_ODLIS.mtx,0.032542
438,1031_bcsstk09.mtx,1.680876
439,0516_saylr3.mtx,0.1908
440,0761_mahindas.mtx,0.330334
441,0560_bcsstk02.mtx,3.782842
442,2656_mycielskian15.mtx,10.414258
443,1132_spaceStation_14.mtx,1.030423
444,0460_bfwb398.mtx,0.242347
445,1182_ACTIVSg2000.mtx,0.084867
446,1140_G55.mtx,0.011201
447,2325_heart1.mtx,84.752716
448,1785_delaunay_n15.mtx,0.803846
449,0720_bcsstk19.mtx,0.59451
450,2255_smallworld.mtx,1.002451
451,0028_Tina_DisCog.mtx,0.005908
452,1630_vsp_p0291_seymourl_iiasa.mtx,0.089175
453,1859_cond-mat-2003.mtx,0.16063
454,1120_ex29.mtx,0.893062
455,2427_sme3Db.mtx,0.249661
456,1854_ca-HepPh.mtx,0.404055
457,2305_msc10848.mtx,24.752451
458,0407_ch5-5-b3.mtx,0.109714
459,2672_CurlCurl_3.mtx,3.894252
460,2329_ga2010.mtx,0.277069
461,1678_Wordnet3.mtx,0.322994
462,0690_orsirr_2.mtx,0.314187
463,0401_mhdb416.mtx,0.282835
464,0087_GD98_b.mtx,0.007357
465,1898_raefsky1.mtx,20.810834
466,0831_dw2048.mtx,0.418733
467,0313_oscil_dcop_18.mtx,0.072881
468,1109_G40.mtx,0.403707
469,2158_thermomech_TC.mtx,0.129092
470,0099_d_dyn1.mtx,0.011927
471,2168_G2_circuit.mtx,1.890855
472,1507_c-37.mtx,1.499014
473,2587_largebasis.mtx,9.526065
474,0598_SmaGri.mtx,0.070225
475,2441_exdata_1.mtx,319.872365
476,1737_bayer04.mtx,1.843648
477,1287_nasa1824.mtx,2.662585
478,0950_Trefethen_700.mtx,0.947571
479,0364_dwt_209.mtx,0.178251
480,1991_delaunay_n16.mtx,2.042447
481,2051_rajat18.mtx,6.035072
482,2248_pkustk01.mtx,12.417332
483,2519_s3dkt3m2.mtx,81.549625
484,0118_mesh1e1.mtx,0.0385
485,0294_oscil_dcop_11.mtx,0.064824
486,2606_boneS01.mtx,32.202505
487,1055_G45.mtx,0.533883
488,0976_orsreg_1.mtx,0.424571
489,1549_utm5940.mtx,3.358722
490,0450_Erdos991.mtx,0.263547
491,1661_cvxqp3.mtx,0.539053
492,2139_g7jac160sc.mtx,0.346145
493,1659_foldoc.mtx,0.178614
494,0217_lop163.mtx,0.097243
495,1670_jan99jac060sc.mtx,0.418357
496,1143_TSOPF_FS_b9_c1.mtx,6.939982
497,1313_cage9.mtx,0.705882
498,2138_g7jac160.mtx,0.346008
499,0752_lung1.mtx,0.353341
500,1834_lowThrust_11.mtx,36.625651
501,1102_ex22.mtx,3.287791
502,1753_jan99jac080sc.mtx,0.450865
503,1013_dwt_992.mtx,2.016559
504,0033_GD95_a.mtx,0.001667
505,1098_saylr4.mtx,0.370984
506,0623_rajat19.mtx,0.46369
507,2528_xenon2.mtx,6.400351
508,0517_steam1.mtx,0.736714
509,1543_lhr04c.mtx,4.141457
510,2147_heart2.mtx,97.794423
511,0361_shl_200.mtx,0.035823
512,2498_pkustk08.mtx,8.695476
513,0671_fpga_dcop_12.mtx,0.25214
514,2533_barrier2-9.mtx,0.473993
515,1253_wb-cs-stanford.mtx,1.013487
516,2077_ford2.mtx,1.869504
517,1701_mplate.mtx,3.116912
518,0477_bcsstk20.mtx,0.356047
